movie_id,title,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,genre_str,pseudo_plot,tokens,tokens_genre_only,overview,keywords,cast,director,success
11,Seven (Se7en) (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Crime Thriller,Seven (Se7en) (1995) Crime Thriller,"{'Crime', 'Thriller', 'seven'}","{'Crime', 'Thriller'}","Based on the infamous ""Concrete-encased high school girl murder case"" that took place from November 1988 to January 1989 in Japan. Junko Furuta, a female 17 year old high school student, was kidnapped and confined in a house by four other male high school students (all juvenile) in the Ayase district of Adachi-ku, Tokyo, where she was repeatedly raped, sexually humiliated and tortured in an extremely brutish manner for 41 days before she finally died after a particularly severe beating. The boys hid her body in a drum and filled it with concrete, but the body was nonetheless discovered a few months later.",violence against women high school friends sadistic torture pink film junko furuta,Yujin Kitagawa Satoru Saito Eisuke Sasai,Katsuya Matsumura,True
12,"Usual Suspects, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Crime Thriller,"Usual Suspects, The (1995) Crime Thriller","{'Crime', 'Thriller', 'the', 'suspects,', 'usual'}","{'Crime', 'Thriller'}","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","new york city robbery affectation relatives heist flashback police corruption whodunit los angeles, california theft criminal criminal mastermind cargo ship mind game shocking neo-noir mystery villain incredulous",Stephen Baldwin Gabriel Byrne Benicio del Toro,Bryan Singer,True
13,Mighty Aphrodite (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,Mighty Aphrodite (1995) Comedy,"{'aphrodite', 'Comedy', 'mighty'}",{'Comedy'},"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",prostitute adoption adoptive father childlessness looking for  birth parents adoptive mother illegal prostitution kids,Woody Allen Mira Sorvino Helena Bonham Carter,Woody Allen,True
14,"Postino, Il (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Drama Romance,"Postino, Il (1994) Drama Romance","{'postino,', 'Drama', 'il', 'Romance'}","{'Drama', 'Romance'}",Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,"island fisherman letter postman poet naples, italy love poverty",Massimo Troisi Philippe Noiret Maria Grazia Cucinotta,Michael Radford,True
15,Mr. Holland's Opus (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama,Mr. Holland's Opus (1995) Drama,"{'opus', ""holland's"", 'Drama', 'mr.'}",{'Drama'},"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","high school husband wife relationship composer music teacher mentor deaf-mute portland, oregon marching band teacher student relationship high school teacher disabled teaching retirement party sign languages forced retirement 1960s 1990s father son relationship inspiring teacher",Richard Dreyfuss Glenne Headly Jay Thomas,Stephen Herek,True
16,French Twist (Gazon maudit) (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Comedy Romance,French Twist (Gazon maudit) (1995) Comedy Romance,"{'twist', 'french', 'Comedy', 'Romance'}","{'Comedy', 'Romance'}","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",estate agent van love triangle southern france menage a trois polyamory woman director,Victoria Abril Josiane Balasko Alain Chabat,Josiane Balasko,True
17,From Dusk Till Dawn (1996),0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Action Comedy Crime Horror Thriller,From Dusk Till Dawn (1996) Action Comedy Crime Horror Thriller,"{'Horror', 'dawn', 'Action', 'till', 'Comedy', 'Crime', 'Thriller', 'from', 'dusk'}","{'Horror', 'Action', 'Comedy', 'Crime', 'Thriller'}","After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",dancing showdown sheriff sibling relationship vampire bank robber holy water siege stripper priest bank robbery preacher hostage situation crucifix recreational vehicle mexican american border female stripping boa constrictor loss of faith foot fetish killer on the run barefoot witty,George Clooney Quentin Tarantino Harvey Keitel,Robert Rodriguez,True
18,"White Balloon, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama,"White Balloon, The (1995) Drama","{'balloon,', 'Drama', 'the', 'white'}",{'Drama'},Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,fish money celebration goldfish,Aida Mohammadkhani Mohsen Kafili Fereshteh Sadr Orafaee,Jafar Panahi,True
19,Antonia's Line (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama,Antonia's Line (1995) Drama,"{'Drama', ""antonia's"", 'line'}",{'Drama'},"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",underdog mentally disabled suicide right and justice rape free love parent child relationship loss of loved one village life philosophy widow freedom peasant village world war ii mathematics feminism indian summer  family history single male homosexuality domestic violence university woman director,Willeke van Ammelrooy Els Dottermans Dora van der Groen,Marleen Gorris,True
20,Angels and Insects (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Drama Romance,Angels and Insects (1995) Drama Romance,"{'and', 'Drama', 'Romance', 'angels', 'insects'}","{'Drama', 'Romance'}","In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",class society insect rich woman poor man victorian england scientist incest based on short story naturalist brother sister sex cheating wife brother sister incest,Mark Rylance Kristin Scott Thomas Patsy Kensit,Philip Haas,True
21,Muppet Treasure Island (1996),0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Action Adventure Comedy Musical Thriller,Muppet Treasure Island (1996) Action Adventure Comedy Musical Thriller,"{'Thriller', 'muppet', 'island', 'treasure', 'Action', 'Musical', 'Comedy', 'Adventure'}","{'Action', 'Musical', 'Comedy', 'Thriller', 'Adventure'}","Muppet Sing Alongs: Muppet Treasure Island is a 1996 video produced just before the release of the feature film Muppet Treasure Island. Kermit is joined by Polly Lobster, Clueless Morgan, Mad Monty and the other pirates from Muppet Treasure Island in this half hour of pirate songs.",,Jerry Nelson Kevin Clash Bill Barretta,David Gumpel,True
22,Braveheart (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Action Drama War,Braveheart (1995) Action Drama War,"{'War', 'braveheart', 'Drama', 'Action'}","{'War', 'Drama', 'Action'}","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",epic england scotland loss of loved one idealism based on true story medieval war,Mel Gibson Catherine McCormack Sophie Marceau,Mel Gibson,True
23,Taxi Driver (1976),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Drama Thriller,Taxi Driver (1976) Drama Thriller,"{'taxi', 'Thriller', 'Drama', 'driver'}","{'Thriller', 'Drama'}",A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,"drug dealer vietnam veteran new york city taxi pornography obsession taxi driver pimp firearm politician alienation junk food misanthrophy vigilante cynical illegal prostitution character study loner manhattan, new york city meditative neo-noir child prostitution complex new hollywood dreary cautionary drives provocative antagonistic audacious callous",Robert De Niro Jodie Foster Cybill Shepherd,Martin Scorsese,True
24,Rumble in the Bronx (1995),0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Action Adventure Crime,Rumble in the Bronx (1995) Action Adventure Crime,"{'Crime', 'in', 'bronx', 'the', 'Action', 'rumble', 'Adventure'}","{'Crime', 'Adventure', 'Action'}","Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.","new york city martial arts supermarket diamond gang war disabled child revenge vigilante organized crime gang fish out of water wedding urban setting street life bronx, new york city duringcreditsstinger frantic action hero",Jackie Chan Anita Mui Françoise Yip,Stanley Tong Gwai-Lai,True
25,"Birdcage, The (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,"Birdcage, The (1996) Comedy","{'Comedy', 'birdcage,', 'the'}",{'Comedy'},"Middle-aged gay life partners, Armand Goldman, a Jewish drag club owner, and Albert, the club's flamboyant star attraction, live in the eclectic community of South Beach and have raised a straight son. Now, their newly engaged son, 20-year-old Val, wants to bring his fiancée, Barbara, and her ultraconservative parents home to meet his family for the first time. By Val's request, Armand pretends to be straight, not Jewish and attempts to hide his relationship with Albert, in order to please Barbara's father, controversial right-wing Republican Sen. Kevin Keeley.",coming out florida homophobia drag queen nightclub senator politician based on play or musical remake conservative cross dressing gay parent lgbt political conflict south beach playing straight drag club,Robin Williams Gene Hackman Nathan Lane,Mike Nichols,True
26,"Brothers McMullen, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,"Brothers McMullen, The (1995) Comedy","{'mcmullen,', 'brothers', 'Comedy', 'the'}",{'Comedy'},"Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s. Directed, written, produced by and starring Edward Burns.",love best friend true love irish catholic,Shari Albert Maxine Bahns Catharine Bolz,Edward Burns,True
27,Bad Boys (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action,Bad Boys (1995) Action,"{'bad', 'boys', 'Action'}",{'Action'},"Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.","miami, florida mexican standoff male friendship witness protection stripper car crash strip club internal affairs police corruption gunfight foot chase drug lord murder investigation nostalgic hangar loose cannon buddy cop male camaraderie narcotics detective action hero buddy movie murder witness buddy detective duo stolen drugs",Will Smith Martin Lawrence Téa Leoni,Michael Bay,True
28,Apollo 13 (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Action Drama Thriller,Apollo 13 (1995) Action Drama Thriller,"{'Thriller', 'Drama', 'Action', '13', 'apollo'}","{'Thriller', 'Drama', 'Action'}","The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.","rescue florida race against time moon nasa spaceman based on true story houston, texas survival space disaster explosion astronaut hypothermia apollo program lunar mission spacecraft accident",Tom Hanks Bill Paxton Kevin Bacon,Ron Howard,True
29,Batman Forever (1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Action Adventure Comedy Crime,Batman Forever (1995) Action Adventure Comedy Crime,"{'Crime', 'forever', 'Action', 'batman', 'Comedy', 'Adventure'}","{'Crime', 'Comedy', 'Adventure', 'Action'}","In the looming shadows of Gotham City, two villainous souls devise twin schemes of revenge against the city's dark guardian. Two-Face, disfigured by chance and fueled by vengeance, is obsessed with destroying Batman, while the Riddler, a disillusioned genius, pursues the destruction of billionaire Bruce Wayne. Together they've hatched a plot to absorb and control the minds of all of Gotham City's residents, and only Batman and his new partner, Robin, can stop them! But the Dark Knight is hindered by a mystery from his own childhood. He must hope that a new found love can help him overcome the incident that made him what he is. In the end, he must decide: will he be Batman—forever?",riddle superhero villain rose based on comic partner robin broken neck psychologist criminal district attorney millionaire super power falling down stairs tied up beretta knocked out disfigurement father figure good versus evil,Val Kilmer Tommy Lee Jones Jim Carrey,Joel Schumacher,True
30,Belle de jour (1967),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama,Belle de jour (1967) Drama,"{'de', 'jour', 'Drama', 'belle'}",{'Drama'},"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",adultery prostitute jealousy dreams husband wife relationship dual identity double life sexual frustration brothel women's sexual identity masochism sexual exploration,Catherine Deneuve Jean Sorel Michel Piccoli,Luis Buñuel,True
31,Crimson Tide (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,Drama Thriller War,Crimson Tide (1995) Drama Thriller War,"{'crimson', 'Thriller', 'Drama', 'tide', 'War'}","{'War', 'Thriller', 'Drama'}","After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsey insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him.",mutiny submarine missile embassy nuclear missile battle for power u.s. navy terrorism military moral dilemma post cold war aircraft carrier chain of command launch code sonar nuclear submarine direct commanding,Denzel Washington Gene Hackman Matt Craven,Tony Scott,True
32,Crumb (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Documentary,Crumb (1994) Documentary,"{'Documentary', 'crumb'}",{'Documentary'},"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",underground fetish artist nerd biography counter-culture drawing art swinging 60s ec comics brothers san francisco cultural icon,Robert Crumb Aline Kominsky Charles Crumb,Terry Zwigoff,True
33,Desperado (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Action Romance Thriller,Desperado (1995) Action Romance Thriller,"{'desperado', 'Thriller', 'Romance', 'Action'}","{'Thriller', 'Romance', 'Action'}","El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his army of desperados, and leaves his own trail of blood.",gunslinger showdown mexico ambush hitman guitar anti terror bartender revenge tragic hero shootout mariachi explosion brutality drug lord leg brace concealed weapon book store,Antonio Banderas Salma Hayek Pinault Joaquim de Almeida,Robert Rodriguez,True
34,"Doom Generation, The (1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Comedy Drama,"Doom Generation, The (1995) Comedy Drama","{'Drama', 'generation,', 'the', 'doom', 'Comedy'}","{'Comedy', 'Drama'}","Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts.",friendship california robbery nazi nihilism eroticism blow job controversy punk rock surrealism severed head drifter on the road cynical threesome shoplifting polyamory voyeur crystal meth,Rose McGowan James Duval Johnathon Schaech,Gregg Araki,True
35,Free Willy 2: The Adventure Home (1995),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Adventure Children's Drama,Free Willy 2: The Adventure Home (1995) Adventure Children's Drama,"{""Children's"", 'the', 'willy', 'free', 'home', 'Drama', '2:', 'Adventure', 'adventure'}","{'Drama', ""Children's"", 'Adventure'}",Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,whale human animal relationship killer whale,Jason James Richter Michael Madsen Jayne Atkinson,Dwight H. Little,True
36,Mad Love (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Drama Romance,Mad Love (1995) Drama Romance,"{'mad', 'Drama', 'love', 'Romance'}","{'Drama', 'Romance'}","Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided.",high school suicide attempt affectation college melancholy road trip teen angst mental institution teenage love mental illness troubled teen woman director teenage romance angry paranoid aggressive candid philosophical absurd admiring adoring ambiguous ambivalent amused exuberant melodramatic,Chris O'Donnell Drew Barrymore Matthew Lillard,Antonia Bird,True
37,Nadja (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama,Nadja (1994) Drama,"{'Drama', 'nadja'}",{'Drama'},"In a contemporary New York City, members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.",new york city vampire,Elina Löwensohn Suzy Amis Galaxy Craze,Michael Almereyda,True
38,"Net, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Sci-Fi Thriller,"Net, The (1995) Sci-Fi Thriller","{'Thriller', 'net,', 'the', 'Sci-Fi'}","{'Thriller', 'Sci-Fi'}","Angela Bennett is a freelance computer systems analyst who tracks down software viruses. At night she hooks up to the internet and chats to others 'surfing the net'. While de-bugging a new high-tech game for a cyber friend, she comes across a top secret program and becomes the target of a mysterious organization who will stop at nothing to erase her identity and her existence, in order to protect the project.",california assassin mexico computer program computer virus therapist new identity secret organization vacation on the run conspiracy hacking internet chat ill mother loner computer programming hospitalization analyst cyber terrorism computer programmer single woman surveillance state internet surveillance erased computer disc stolen life santa monica pier imposter,Sandra Bullock Jeremy Northam Dennis Miller,Irwin Winkler,True
39,Strange Days (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Action Crime Sci-Fi,Strange Days (1995) Action Crime Sci-Fi,"{'Crime', 'Action', 'strange', 'days', 'Sci-Fi'}","{'Crime', 'Sci-Fi', 'Action'}","Former policeman Lenny Nero has moved into a more lucrative trade: the illegal sale of virtual reality-like recordings that allow users to experience the emotions and past experiences of others. While they typically contain tawdry incidents, Nero is shocked when he receives one showing a murder.","new year's eve future pornography prostitute police brutality dreams rape police virtual reality paranoia ex-girlfriend bodyguard rapper dystopia minidisc ex-cop murder cyberpunk los angeles, california criminal private detective revolt tech noir woman director",Ralph Fiennes Angela Bassett Juliette Lewis,Kathryn Bigelow,True
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar (1995) Comedy","{'wong', 'for', 'everything!', 'julie', 'newmar', 'thanks', 'Comedy', 'to', 'foo,'}",{'Comedy'},"Manhattan drag queens Vida Boheme and Noxeema Jackson impress regional judges in competition, securing berths in the Nationals in Los Angeles. When the two meet pathetic drag novice Chi-Chi Rodriguez — one of the losers that evening — the charmed Vida and Noxeema agree to take the hopeless youngster under their joined wing. Soon the three set off on a madcap road trip across America and struggle to make it to Los Angeles in time.",new york city transvestism homophobia drag queen road trip travel drag woman director mischievous amused comforting vibrant,Patrick Swayze Wesley Snipes John Leguizamo,Beeban Kidron,True
